track_id,artist,album,track_name,duration_ms,track_genre
1foMv2HQwfQ2vntFf9HFeG,Gorillaz,Plastic Beach,Rhinestone Eyes,200173,alternative
0snQkGI5qnAmohLE7jTsTn,System Of A Down,Toxicity,Toxicity,218933,alternative
0q6LuUqGLUiCPP1cbdwFs3,Gorillaz,Plastic Beach,On Melancholy Hill,233866,alternative
61mWefnWQOLf90gepjOCb3,Slipknot,Vol. 3: The Subliminal Verses,Duality,252613,alternative
1FWsomP9StpCcXNWmJk8Cl,Cigarettes After Sex,Cigarettes After Sex,K.,320030,ambient
0yc6Gst2xkRu0eMLeRMGCX,Cigarettes After Sex,Cigarettes After Sex,Apocalypse,290616,ambient
0SpkyS1Q4MD8GaVcP5YjT4,Cigarettes After Sex,Cigarettes After Sex,Sunsetz,215150,ambient
3khEEPRyBeOUabbmOPJzAG,Kenshi Yonezu,KICK BACK,KICK BACK,193495,anime
5elW2CKSoqjYoJ32AGDxf1,ENHYPEN,DIMENSION : ANSWER,Polaroid Love,184601,anime
2tznHmp70DxMyr2XhWLOW0,Cage The Elephant,Melophobia,Cigarette Daydreams,208760,blues
7e89621JPkKaeDSTQ3avtg,Lynyrd Skynyrd,Second Helping (Expanded Edition),Sweet Home Alabama,283800,blues
1qRA5BS78u3gME0loMl9AA,Buffalo Springfield,Buffalo Springfield,For What It's Worth,153693,blues
0DuWDLjriRPjDRoPgaCslY,Adele,25,Love In The Dark,285935,british
3di5hcvxxciiqwMH1jarhY,Adele,21,Set Fire to the Rain,242973,british
0gplL1WMoJ6iYaPgMCL0gX,Adele,Easy On Me,Easy On Me,224694,british
3bNv3VuUOKgrf5hu3YcuRo,Adele,21,Someone Like You,285240,british
6VObnIkLVruX4UVyxWhlqm,Adele,Skyfall,Skyfall,286480,british
6O5TrlFWTYvznd9fMC0VvU,Adele,25,When We Were Young,290900,british
3Kkjo3cT83cw09VJyrLNwX,Adele,30,Oh My God,225148,british
